,date,color,numpixel,percentage
0,02/05/2024 1,#212216,370035,18.88800980041856
1,02/05/2024 1,#354519,54389,2.7762237762237763
2,02/05/2024 1,#504c33,79688,4.0675820529835125
3,02/05/2024 1,#6b615a,640594,32.69838191006074
4,02/05/2024 1,#86766b,155321,7.928181307743351
5,02/05/2024 1,#978c70,77185,3.9398193047828087
6,02/05/2024 1,#9b9da1,136731,6.979276198
7,02/05/2024 1,#9eb2cd,236993,12.097034352508805
8,02/05/2024 1,#b5c7de,117981,6.022204073298964
9,02/05/2024 1,#d0dae7,90183,4.603287224
0,02/05/2024 2,#282913,132328,14.545438557151588
1,02/05/2024 2,#394519,87460,9.613566714591606
2,02/05/2024 2,#52542a,253928,27.91165982966862
3,02/05/2024 2,#70624d,81576,8.966799889
4,02/05/2024 2,#89765b,67240,7.390992749704315
5,02/05/2024 2,#9e9166,121493,13.354459877153873
6,02/05/2024 2,#9e9fa0,73336,8.061062527
7,02/05/2024 2,#a6b6cc,33727,3.70725777
8,02/05/2024 2,#cfb48e,25393,2.791187966883428
9,02/05/2024 2,#d7dbdd,33275,3.657574118774704
0,02/05/2024 3,#201e13,323562,32.04980387495542
1,02/05/2024 3,#384713,67691,6.705000198106105
2,02/05/2024 3,#4f5228,128301,12.708605729228575
3,02/05/2024 3,#675f53,129214,12.799041166448749
4,02/05/2024 3,#887762,52704,5.220492095566385
5,02/05/2024 3,#9e8f6f,93909,9.301973136812077
6,02/05/2024 3,#aaa094,102580,10.160862157771703
7,02/05/2024 3,#c9b599,34156,3.383256071952138
8,02/05/2024 3,#ddccab,27141,2.688398906454297
9,02/05/2024 3,#dededd,50302,4.982566662704545
0,02/06/2024 1,#212216,370035,18.88800980041856
1,02/06/2024 1,#354519,54389,2.7762237762237763
2,02/06/2024 1,#504c33,79688,4.0675820529835125
3,02/06/2024 1,#6b615a,640594,32.69838191006074
4,02/06/2024 1,#86766b,155321,7.928181307743351
5,02/06/2024 1,#978c70,77185,3.9398193047828087
6,02/06/2024 1,#9b9da1,136731,6.979276198
7,02/06/2024 1,#9eb2cd,236993,12.097034352508805
8,02/06/2024 1,#b5c7de,117981,6.022204073298964
9,02/06/2024 1,#d0dae7,90183,4.603287224
0,02/06/2024 2,#0e131c,645017,11.484167578254082
1,02/06/2024 2,#1f262d,738844,13.154704930548434
2,02/06/2024 2,#313134,688033,12.250043442837772
3,02/06/2024 2,#404142,716602,12.758698538041683
4,02/06/2024 2,#535452,624321,11.11568685
5,02/06/2024 2,#6b6465,391334,6.9674833920167725
6,02/06/2024 2,#7f736f,500268,8.906992445219293
7,02/06/2024 2,#a1a0a8,358541,6.383622335031165
8,02/06/2024 2,#bbc2d3,623550,11.101959628072334
9,02/06/2024 2,#cdd4e1,330066,5.876640857347964
0,02/06/2024 3,#222524,480868,8.737208559
1,02/06/2024 3,#3e3e3a,751747,13.658988167916739
2,02/06/2024 3,#495047,567622,10.313499331356473
3,02/06/2024 3,#575553,557464,10.12893191
4,02/06/2024 3,#655e5c,566514,10.293367346938776
5,02/06/2024 3,#65756a,506798,9.208347869062154
6,02/06/2024 3,#928985,590927,10.73694328158614
7,02/06/2024 3,#a9b4c3,691538,12.565011047153904
8,02/06/2024 3,#bfbcc0,359726,6.536099482528054
9,02/06/2024 3,#cfd5de,430476,7.821603000174429
0,02/06/2024 4,#15151d,636842,10.124802859177858
1,02/06/2024 4,#2e2e2f,748153,11.894475605413106
2,02/06/2024 4,#3e3a3b,622259,9.892955713268213
3,02/06/2024 4,#454540,565294,8.987300315425315
4,02/06/2024 4,#50633a,810946,12.892787189662188
5,02/06/2024 4,#544c4c,696469,11.072779939967441
6,02/06/2024 4,#716e68,576553,9.166301002238503
7,02/06/2024 4,#9ea1af,621502,9.880920584045585
8,02/06/2024 4,#b4b9c7,610869,9.711872329059828
9,02/06/2024 4,#c7ccd9,401033,6.375804461741962
0,02/06/2024 5,#191409,682675,9.504836547581059
1,02/06/2024 5,#32321c,859213,11.962762844042572
2,02/06/2024 5,#475828,615157,8.564788129198112
3,02/06/2024 5,#4a3e2e,766514,10.672121113901266
4,02/06/2024 5,#675848,673699,9.379864323827313
5,02/06/2024 5,#7f7562,776477,10.81083527001296
6,02/06/2024 5,#af9c88,832719,11.59388872459831
7,02/06/2024 5,#c7c3bb,707812,9.85481725
8,02/06/2024 5,#cfcbc1,821490,11.437548138532044
9,02/06/2024 5,#eae3d0,446640,6.218537657906915
0,02/07/2024 1,#0e1221,610784,10.894530759483557
1,02/07/2024 1,#2a353e,660188,11.775748010822042
2,02/07/2024 1,#4d4647,597171,10.651716201098187
3,02/07/2024 1,#5b5e66,391671,6.986220590417699
4,02/07/2024 1,#5e97e9,677645,12.087127849632987
5,02/07/2024 1,#6faaf4,1138308,20.303956095389218
6,02/07/2024 1,#7094bf,160048,2.8547700316213653
7,02/07/2024 1,#756b64,502332,8.960076599047936
8,02/07/2024 1,#948c80,551048,9.829022020799325
9,02/07/2024 1,#98bbe2,317141,5.656831841687691
0,02/07/2024 2,#0c1015,889431,10.70979091710376
1,02/07/2024 2,#202126,1455683,17.52812818
2,02/07/2024 2,#2c353e,841657,10.134536005510041
3,02/07/2024 2,#4e5669,651133,7.8404039090458095
4,02/07/2024 2,#6d86ae,799639,9.628590075185073
5,02/07/2024 2,#898e99,918749,11.062813973538322
6,02/07/2024 2,#969daa,824274,9.925224327018944
7,02/07/2024 2,#b1b5bd,608712,7.329605386738336
8,02/07/2024 2,#ceced0,812403,9.782283584030518
9,02/07/2024 2,#e2e2e0,503159,6.058623645970301
0,02/07/2024 3,#080b0e,822727,12.849455614529607
1,02/07/2024 3,#252922,895652,13.98840760065571
2,02/07/2024 3,#4d5b68,437230,6.828714115789053
3,02/07/2024 3,#73706c,372266,5.814098046859382
4,02/07/2024 3,#7e96c3,620622,9.692953850305866
5,02/07/2024 3,#95a8cb,719347,11.234853539442645
6,02/07/2024 3,#a8b4c9,801829,12.52306797509096
7,02/07/2024 3,#b7c2d6,701625,10.958069074607172
8,02/07/2024 3,#c2cbdc,555519,8.676166861580905
9,02/07/2024 3,#d6dce7,475999,7.434213321138699
0,02/07/2024 4,#0f1316,657191,10.611575494998347
1,02/07/2024 4,#2d3030,795126,12.838793557787698
2,02/07/2024 4,#3a4638,729476,11.77875176
3,02/07/2024 4,#4b4c4c,487789,7.876263976727844
4,02/07/2024 4,#625f5f,530284,8.562425079
5,02/07/2024 4,#8894a2,414858,6.6986568390376995
6,02/07/2024 4,#a1b5d0,644272,10.402974123677248
7,02/07/2024 4,#a7bedb,986572,15.930046606316136
8,02/07/2024 4,#adc3de,576614,9.310509414
9,02/07/2024 4,#b8cee4,370970,5.990003151868386
0,02/07/2024 5,#0b0a06,471154,8.571984775600207
1,02/07/2024 5,#100e09,466116,8.480325447016615
2,02/07/2024 5,#14130d,464060,8.442919416931687
3,02/07/2024 5,#1d170b,605441,11.015147986696844
4,02/07/2024 5,#252011,1047076,19.05007604922459
5,02/07/2024 5,#292e33,197968,3.6017494960374354
6,02/07/2024 5,#344161,726311,13.214207741738287
7,02/07/2024 5,#384569,768077,13.974081405418781
8,02/07/2024 5,#392f25,554308,10.08485492427826
9,02/07/2024 5,#6a6b6e,195929,3.5646527570572952
0,2/8/2024 1,#0f0f0a,1287799,10.56199051765768
1,2/8/2024 1,#211b13,1552291,12.731243635571513
2,2/8/2024 1,#322f1f,1254173,10.28620408425716
3,2/8/2024 1,#4a3e2b,1151789,9.446493199903419
4,2/8/2024 1,#5f5742,767785,6.2970524822583345
5,2/8/2024 1,#81878d,924226,7.580116344377257
6,2/8/2024 1,#8e959c,976307,8.007262993932141
7,2/8/2024 1,#959aa1,1400354,11.485119703745696
8,2/8/2024 1,#a5abb2,1325715,10.872961742567396
9,2/8/2024 1,#d4dade,1552329,12.731555295729402
0,2/8/2024 2,#0f0f0a,1287799,10.56199051765768
1,2/8/2024 2,#211b13,1552291,12.731243635571513
2,2/8/2024 2,#322f1f,1254173,10.28620408425716
3,2/8/2024 2,#4a3e2b,1151789,9.446493199903419
4,2/8/2024 2,#5f5742,767785,6.2970524822583345
5,2/8/2024 2,#81878d,924226,7.580116344377257
6,2/8/2024 2,#8e959c,976307,8.007262993932141
7,2/8/2024 2,#959aa1,1400354,11.485119703745696
8,2/8/2024 2,#a5abb2,1325715,10.872961742567396
9,2/8/2024 2,#d4dade,1552329,12.731555295729402
0,2/8/2024 3,#19150d,1025279,8.408910921621734
1,2/8/2024 3,#292417,997854,8.183982505039053
2,2/8/2024 3,#323022,988519,8.107420726778365
3,2/8/2024 3,#463a29,1465144,12.016500272948685
4,2/8/2024 3,#5d513d,1693730,13.891267347988578
5,2/8/2024 3,#888277,963858,7.905161485890652
6,2/8/2024 3,#aaa9ab,1652270,13.551229712564039
7,2/8/2024 3,#b8bbc0,1127249,9.245226350571093
8,2/8/2024 3,#c4c3c7,1580268,12.960699326026706
9,2/8/2024 3,#d9d9d9,698597,5.729601350571093
0,2/8/2024 4,#0a0a09,1011657,8.297188957
1,2/8/2024 4,#0f100d,1220860,10.012984746367684
2,2/8/2024 4,#121512,899397,7.376479237528345
3,2/8/2024 4,#191814,1563253,12.821149389539766
4,2/8/2024 4,#25201c,1828093,14.993256658373225
5,2/8/2024 4,#4d4a47,928776,7.617433547493071
6,2/8/2024 4,#aaabac,1399101,11.474843120118418
7,2/8/2024 4,#d0d0d1,1533146,12.57422432707651
8,2/8/2024 4,#e1e1e0,1067356,8.754008933820442
9,2/8/2024 4,#f0f1f3,741129,6.078431083081381
0,2/8/2024 5,#101111,1410389,11.567422590178046
1,2/8/2024 5,#17191a,1664994,13.655586655958679
2,2/8/2024 5,#201f1e,1888539,15.48900955057949
3,2/8/2024 5,#3a3838,1137872,9.332351767867642
4,2/8/2024 5,#828d9a,861940,7.069272539262618
5,2/8/2024 5,#a0acbb,1210453,9.927630871021249
6,2/8/2024 5,#adbbcb,931734,7.641693830309902
7,2/8/2024 5,#bdcbdc,1294339,10.615628871147225
8,2/8/2024 5,#cedceb,870902,7.142775127026119
9,2/8/2024 5,#d9e7f7,921606,7.558628196649029
0,2/9/2024 1,#101211,1303868,10.693781756529773
1,2/9/2024 1,#22201c,1510058,12.384866176408835
2,2/9/2024 1,#35392d,1490653,12.225714456307214
3,2/9/2024 1,#4f4944,845119,6.931313709897539
