,name,rating,comment,latitude,longitude
0,Sol Liquor Lounge,4.5,It's a cool vibe in this bar I really enjoyed it. I drank a lot that night and I had a really good time drinking beer with different cocktails,47.62460938971,-122.32560712946
1,Sol Liquor Lounge,4.5,"The cocktails are okay, pretty pricey . Dumplings are good, spicy cabbage were the best all the seafood flavors tasted the same. The lighting is pretty dim...",47.62460938971,-122.32560712946
2,Sol Liquor Lounge,4.5,My friends and I trekked over here for cocktails a few weeks ago. Sol is always the first result when I search for bars in Capitol Hill and so I knew we had...,47.62460938971,-122.32560712946
3,Time Warp,4.0,"Seems like a cool place to meet up with friends and have a drink. I love the whole game vibes and we actually have a gaming bar back in SJ, CA. 

Its a...",47.61361158827256,-122.3191888
4,Time Warp,4.0,"This place is absolutely fantastic! The space is large, has a cool vibe, and lots of pinball machines. I tried out several pinball machines and they did not...",47.61361158827256,-122.3191888
5,Time Warp,4.0,"Drinks= STRONG
Service= Above & beyond
Games=Never seen such insane UX on a pinball game
Ramen= Diverse

Went here tonight for the first time. Was so hype...",47.61361158827256,-122.3191888
6,The Lab at Ada's,4.5,"I recently co-hosted a professional networking/speaker panel event at The Lab, and it was an total success. From start to finish, CJ was there for us....",47.62268,-122.31286
7,The Lab at Ada's,4.5,We didn't do an event here but our experience still seems like people should know about. We wanted to have our tiny wedding and dinner at The Lab. After two...,47.62268,-122.31286
8,The Lab at Ada's,4.5,"This is a lovely space for a personal event! We wanted a space that was low key, unique, furnished, cozy, with delicious food. No big deal. Our guest list...",47.62268,-122.31286
9,Bait Shop,4.5,Went to the bait shop for their Christmas pop up bar and really enjoyed it. I think you can tell a lot about a place by the holiday themed time even though...,47.624656,-122.320616
10,Bait Shop,4.5,Not much to say but service was exceptional! Haven't been here in years and I can't tell if this place expanded or I just forgot. Our server was great! My...,47.624656,-122.320616
11,Bait Shop,4.5,Great spot in Cap Hill to grab some drinks and bar snacks with friends. I came here on a weekday night and was able to find seating almost immediately! The...,47.624656,-122.320616
12,Paper Fan Cocktail Bar,5.0,"Such an incredible experience at this speakeasy. First off, some of the best drinks I've ever had, hands down. Very unique in their approach, with lots of...",47.613975023459474,-122.3241431
13,Paper Fan Cocktail Bar,5.0,I was intrigued by the tea infused alcohol drink. I like the aesthetic of the decorations and space of the speakeasy. I am slightly disappointed with the...,47.613975023459474,-122.3241431
14,Paper Fan Cocktail Bar,5.0,"Our sever, Mini told us about this speakeasy upstairs that hidden inside Biang Biang Noodle. Her recommendation never disappointed us. The vibe of this...",47.613975023459474,-122.3241431
15,Rose Temple,4.5,Nothing could be finer than this adorable hip little spot just hiding a block off Broadway.  With super affordable drinks and rotating snacks by super great...,47.6198009569417,-122.322080077087
16,Rose Temple,4.5,I was really really excited to visit this spot. I saw they were closing permanently at the end of the month on instagram so I hustled over to try it this...,47.6198009569417,-122.322080077087
17,Rose Temple,4.5,I will update this review after I give this place a more proper visit.  I came here with friends that wanted to get a few more drinks before heading back....,47.6198009569417,-122.322080077087
18,Liberty,4.0,Food - the sushi was really good! The drinks were also tasty too. I would definitely come back for the sushi and the vegetarian selection was very good. We...,47.623587,-122.312901
19,Liberty,4.0,I had been wanting to try this place for so long. It looked like a dive bar in capitol hill. But I was disappointed. The place has good vibe but the food...,47.623587,-122.312901
20,Liberty,4.0,Thank you to Andrew and Brian for stepping in when myself and one of my girlfriends felt very uncomfortable from a drunk person outside. He told the...,47.623587,-122.312901
21,Needle and Thread,4.0,"No it is not cheap, but if you are going to spend a good chuck of Change on drinks, this is the place.  

There is no menu so everything is done by giving...",47.61324,-122.3166
22,Needle and Thread,4.0,Needle & Thread is one of the best bar for a thorough speakeasy experience. I went with a friend on a Sunday night. No wait time as we booked a reservation...,47.61324,-122.3166
23,Needle and Thread,4.0,The barista was PHENOMENAL! She was so bubbly and her personality shined like the stars above. She really tried to make sure she knew our preferences and...,47.61324,-122.3166
24,Unicorn,4.0,"Stumbled in here on a Friday date night around 7PM (we are in our late 30's, so we were proud of even being outside when it had been dark for hours...",47.6142899,-122.31757
25,Unicorn,4.0,"Unicorn (and Narwhal, the downstairs) is kind of the quintessential dive bar / barcade that I visit almost anytime I come to Capitol Hill - bar food is...",47.6142899,-122.31757
26,Unicorn,4.0,The colorful circus theme environment is great! cocktails are kind of pricey at $10-$12 each and they pretty much all center around svedka so it's...,47.6142899,-122.31757
27,The Doctor's Office,4.5,"A hidden speakeasy closer to the north side of Capitol Hill, this place is an absolute gem. Reservations are limited and come with a deposit, but it goes...",47.619373,-122.324421
28,The Doctor's Office,4.5,"The bar is a quiet intimate setting. The drinks are truly amazing--even the ""simple"" martini is made exceptionally well.  The highball drink is the best...",47.619373,-122.324421
29,The Doctor's Office,4.5,"The Smell as soon as you arrive puts you in place. Very chill laid back spot. Service was great, drinks were great for the price. Definitely will be back",47.619373,-122.324421
30,Bathtub Gin,4.0,"What an amazing whole in the wall! 

I sat upstairs at the tiny bar and enjoyed my drinks and the atmosphere. The bartender was efficient and please t to...",47.6132,-122.34484
31,Bathtub Gin,4.0,It was the coldest night of 2024. We were visiting and quickly cut down an alley. I think with the wind chill we were looking at 10 degrees. So we get to...,47.6132,-122.34484
32,Bathtub Gin,4.0,"A tiny place with bigtime cocktails! 

For being born and raised in WA I've actually never been here until this last trip home. Lucked out on a Friday night...",47.6132,-122.34484
