Post number,主题,正文,附件,Attachment caption,位置,Latitude,Longitude,作者,创建时间,更新时间,Number of comments,赞
1,"Chinatown/International District, Seattle, WA, USA",This is Aria's happy place.  She's in Chinatown/International District. This place brings her happiness because it's the first place she visited when she came to America.  - Badria K.,https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2902285839,,"Chinatown/International District, Seattle, WA, USA",47.5987122,-122.3239762,Anonymous,2024-03-01 17:45:17 UTC,2024-03-01 17:48:07 UTC,0,0
2,"211 S 48th St, 伦顿华盛顿","This is Mars and this is my kitchen, he loves it and whenever he comes home he always goes to the kitchen first to see what my mom is cooking. This is where he releases his fatigue from the day.

Zhanpeng Ouyang",https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2901325893,,"211 S 48th St, 伦顿华盛顿",47.4361627,-122.2159506,Zhanpeng Ouyang (zouyang6),2024-03-01 00:26:38 UTC,2024-03-01 23:11:25 UTC,0,0
3,"SEAFAB CAFE, Northeast Boat Street, Seattle, WA",My favorite cafe to study at. So quite and peaceful!,https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2899710919,,"SEAFAB CAFE, Northeast Boat Street, Seattle, WA",47.6534067,-122.3181167,Anonymous,2024-02-28 21:40:07 UTC,2024-02-28 21:40:08 UTC,0,0
4,"Apple University Village, Northeast 49th Street, Seattle, WA, USA","A perfect place for BB to rest and chill after schoolwork is the park in University Village. This is his go-to place when he feels stressful and frustrated. He is also a huge apple fan and he is checking out the brand new Vision Pro today!!

--BY",https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2898101029,,"Apple University Village, Northeast 49th Street, Seattle, WA, USA",47.6639219,-122.298531,Anonymous,2024-02-27 19:34:14 UTC,2024-02-27 19:34:48 UTC,0,0
5,"7312 West Green Lake Dr N, Seattle, WA",Here is a corner of Green Lake. This is where Marshal and his girlfriend first met and where they have made many happy and memorial moments. Hoping this place can continue to bring them good memories.,https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2896751834,Marshal's happy moments,"7312 West Green Lake Dr N, Seattle, WA 98103美国",47.680924703612455,-122.34075093152988,Anonymous,2024-02-27 00:35:59 UTC,2024-02-27 00:35:59 UTC,0,0
6,"Frye Art Museum, Terry Avenue, Seattle, WA",Tony went to the Frye Art Museum to look at artwork and explore the different pieces on display. Also he went to gain inspiration his own creative projects and endeavors. - caden h,https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2896599518,,"Frye Art Museum, Terry Avenue, Seattle, WA",47.6071992,-122.324147,Anonymous,2024-02-26 21:12:14 UTC,2024-02-27 21:10:37 UTC,0,0
7,"Ravenna Ravine, 6215 24th Ave NE, Seattle, WA 98105, USA","This is Loondog, and Ravenna Park is his happy place. He likes going to the park to listen to the sounds of the creek and walk the paths that follow it. After being in a busy city for so long, Loondog gets a calming smile when he steps foot on the mud and sees the tops of the trees swaying above. 
-AS",https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2895428260,,"Ravenna Ravine, 6215 24th Ave NE, Seattle, WA 98105, USA",47.67247222105449,-122.31007432266422,Anonymous,2024-02-26 05:27:22 UTC,2024-02-26 05:27:22 UTC,0,0
8,"Smith Hall (SMI), Skagit Lane, 西雅图华盛顿",I have been climbing the four floor stairs last quarter for quiz section until I found the elevator hehe. My journey with geo department started here and I really value my experience with this major!,https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2893343164,,"Smith Hall (SMI), Skagit Lane, 西雅图华盛顿",47.6564039,-122.3075068,Anonymous,2024-02-23 07:44:00 UTC,2024-02-23 07:44:00 UTC,0,0
9,View at night,"Peetah is a big fan of walking at night around Seattle. Ever since these new buildings have been put up, he has been thoroughly entertained by the actions so easily visible from down on the street, and often sees hilarious moments unfold several hundred feet in the air above him. This view is his favorite part of the walk at night, as it allows a peek into life when clearly no one believes others are watching. 


-by Sam M",https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2893268102,,"4300 11th Avenue Northeast, Seattle, WA, USA",47.6602924,-122.3162322,Anonymous,2024-02-23 06:09:45 UTC,2024-02-23 06:09:46 UTC,0,0
10,"Founders Hall (FNDR), East Stevens Way Northeast, Seattle, WA",This is one of my favorite place to study while I don’t have class.,https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2893197627,,"Founders Hall (FNDR), East Stevens Way Northeast, Seattle, WA",47.6587571,-122.3073645,Anonymous,2024-02-23 04:00:49 UTC,2024-02-23 04:00:49 UTC,1,1
11,"Uwajimaya Seattle, 5th Avenue South, Seattle, WA","This is Bob, he loves going to Uwajimaya in Chinatown district where asian foods and gift market are plentiful and always surprising throughout his time after moving to Seattle. He can't help but smile when many happy people are delighted to wander around many of the small businesses of this shop-in-shop location! - Andy Hoang",https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2893168714,,"Uwajimaya Seattle, 5th Avenue South, Seattle, WA",47.5968209,-122.326793,Anonymous,2024-02-23 03:21:58 UTC,2024-02-23 03:21:58 UTC,0,0
12,"Benefit Playground, 38th Avenue South, Seattle, WA","This is ringi, and he enjoys being out in the nature, visiting parks for walks at night, and sports early in the day. But especially likes it at night since it's very open and relaxing. There are many parks he enjoys but, you'll most likely see him strollin at night vibing to music at this one.

-Henry Tam",https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2893161785,🤠,"Benefit Playground, 38th Avenue South, Seattle, WA",47.5190115,-122.2842073,Anonymous,2024-02-23 03:12:09 UTC,2024-02-23 03:12:38 UTC,0,0
13,"Dick's Drive-In, Holman Road Northwest, Seattle, WA","Stopping at Dick's for a burger and fries is always a treat. Enzo likes to get a Deluxe, a cheeseburger, and fries. Sometimes, a vanilla shake as well. -KL",https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2893143600,,"Dick's Drive-In, Holman Road Northwest, Seattle, WA",47.69640159999999,-122.3716869,Anonymous,2024-02-23 02:47:37 UTC,2024-02-23 02:47:37 UTC,0,0
14,"W Stevens Way NE, 西雅图华盛顿","Here is Yeong, a teenager in his school age. Every time he end all day of studying, he take bus here to go home. For him, This place is the happy place for him, Not in the bus or back in him room, but the bus station. It is the waiting that is most exciting.

By YX",https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2893119347,,"W Stevens Way NE, 西雅图华盛顿",47.6537653,-122.3104222,Anonymous,2024-02-23 02:14:27 UTC,2024-02-23 02:14:27 UTC,0,1
15,"Herkimer Coffee, University Way NE, Seattle, WA, USA","This is Geraldine. She has lived quite a long life and in her old age has even lost her nose and watched her mouth begin to melt away. Yet, she is still able to find joy in the little things, like a nice cup of coffee with friends. - Nikita Yadav",https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2893106376,"","Herkimer Coffee, University Way NE, Seattle, WA, USA",47.6698092,-122.3132188,Anonymous,2024-02-23 01:57:45 UTC,2024-02-23 01:57:59 UTC,0,0
16,"SEAFAB CAFE, Northeast Boat Street, Seattle, WA","This is Clementine outside of SeaFab Cafe on Portage Bay near UW's south campus. She frequents this place often because she enjoys their food and drinks, and the atmosphere is really nice to study with friends! She has been to lots of cafes around the U-District but likes this one best as it is near the water, and they have comfortable seating for if she wants to work or read for long periods of time. 

By C Abrahams",https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2893103132,,"SEAFAB CAFE, Northeast Boat Street, Seattle, WA",47.6534067,-122.3181167,Anonymous,2024-02-23 01:53:46 UTC,2024-02-26 21:07:04 UTC,0,0
17,"4801 24th Ave NE, Seattle, WA","After taking a shelter in the Allen Library, Poor Mave returned to her apartment and took a cup of coffee at her common area in her apartment since she felt cold.   - composed by ZY ""Jason""",https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2893100136,The Balloon with her coffee and her anonymous friend,"4801 24th Ave NE, Seattle, WA",47.6642004,-122.3022109,Anonymous,2024-02-23 01:50:25 UTC,2024-02-23 01:50:25 UTC,0,0
18,"Allen Library, Seattle, WA 98105, USA","The balloon named Poor Mave met a heavy rain after her geography lecture, so she decided to take a shelter at second floor of the Allen Library at school. The place was quiet and cozy, so she decided to stay there for a while for studying. She also read a book made by Allen Poe. Although her face looks not happy, but she was happy at that time a lot.  -composed by ZY ""Jason""",https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2893095735,The balloon taking a shelter with the help of an unknown friend.,"Suzzallo Library, Seattle, WA 98105, USA",47.655650471633145,-122.30731997940727,Anonymous,2024-02-23 01:45:37 UTC,2024-02-23 01:45:37 UTC,0,0
19,"Center for Urban Horticulture, 3501 NE 41st St, Seattle, WA 98105, USA","After a long day of school, Bella likes to take a silent walk in the UW Center for Urban Horticulture. She gets angry if a dog barks or a car passes by; it must be silent. 
C. Zahn",https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2893086680,,"Center for Urban Horticulture, 3501 NE 41st St, Seattle, WA 98105, USA",47.65799451153616,-122.28958062838551,Anonymous,2024-02-23 01:33:44 UTC,2024-02-26 21:07:23 UTC,0,0
20,"Cedar River Dog Park, Renton, WA","This is Yay. Yay loves being in the outdoors since its a way to escape her hectic life. In addition to being outdoors, she loves spending time with her dog friends. Its hard to find time to actually go out to parks but being anywhere in nature is her happy place. - Bella Lee",https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2893078978,,"Cedar River Dog Park, Renton, WA",47.4785132,-122.1960644,Anonymous,2024-02-23 01:23:17 UTC,2024-02-23 01:23:38 UTC,0,0
21,"Seattle, WA, USA","This is coolguyloon! He comes to the shop and has a passion for hair cutting. You can't ever catch him off guard. He always a fresh haircut because he comes every other day to get a maintenance haircut. If you can't tell from the photo, he is very photogenic.
Son Dang 

",https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2893055531,,"Seattle, WA, USA",47.5364403623086,-122.35374241625547,Anonymous,2024-02-23 00:51:52 UTC,2024-02-23 00:51:52 UTC,0,0
22,"Lake Washington Blvd Trail, Seattle, WA 98118, USA","This is Cooloon! His happy place is at Seward Park -- especially in the night. It is very peaceful, and a great place to either take someone to view the city or just relax! It's a very beautiful place and hopefully one day he is able to become a professional rock skipper. ",https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2893052635,,"Lake Washington Blvd Trail, Seattle, WA 98118, USA",47.558138327688184,-122.26237395648715,Anonymous,2024-02-23 00:48:21 UTC,2024-02-23 00:48:21 UTC,1,0
23,"Seward Park, Seattle, WA","Hello, I’m ballooni and today I had a beautiful walk at Seward/Lake Washington. I love to come here to relax my mind and explore the beautiful nature. I also love the water and hearing the sounds of the waves. It’s one of my favorite places to be and will continue to come here for the summer :)
Dinah Bahta",https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2893031360,,"Seward Park, Seattle, WA",47.5502603,-122.26485,Anonymous,2024-02-23 00:18:28 UTC,2024-02-23 00:19:17 UTC,0,0
24,"Odegaard Undergraduate Library, George Washington Lane Northeast, Seattle, WA","Sung Jin Woo (balloon version) loves to spend his time at Ode. He is always stressed out from studying and enjoys watching other students suffer with him. It's kinda messed up, but it makes him happy. - KOh",https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2892991492,😂,"Odegaard Undergraduate Library, George Washington Lane Northeast, Seattle, WA",47.65648059999999,-122.3103636,Anonymous,2024-02-22 23:07:42 UTC,2024-02-26 21:07:03 UTC,0,0
25,"Happy Lemon U Village, NE Village Plaza, Seattle, WA","This is a boba place called Happy Lemon. After a long day at school, Blue likes to go get a cup of boba tea at the U Village and relax from the study mode. 
- AYu",https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2892985395,,"Happy Lemon U Village, NE Village Plaza, Seattle, WA",47.66238670000001,-122.2987661,Anonymous,2024-02-22 22:56:07 UTC,2024-02-26 21:11:31 UTC,0,0
26,"1901 N Northlake Way, Seattle, WA 98103, USA","Geoff the Balloon's happy place is Gas Works Park, due to the nice views and the enjoyable walk to get there. Even in the rain, Geoff likes to get out and get some fresh air. Going for a walk is a nice way to relax on a stressful day, and this is a great destination.
J Ashton",https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2892980619,,"1901 N Northlake Way, Seattle, WA 98103, USA",47.64472121957746,-122.3338283389118,Anonymous,2024-02-22 22:46:25 UTC,2024-02-26 21:07:06 UTC,0,0
27,"Suzzallo and Allen Libraries, 15th Avenue Northeast, Seattle, WA","John Smith was happy to escape the rain and get some studying done in the Suzzallo Library reading room. It was crowded inside but he was excited to find an empty chair in the front of the room to sit down, dry off, and get to work. Luke Amrine",https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2892976751,"","Suzzallo and Allen Libraries, 15th Avenue Northeast, Seattle, WA",47.6557702,-122.3078427,Anonymous,2024-02-22 22:39:24 UTC,2024-02-22 22:39:24 UTC,0,0
28,"University Village, Northeast University Village Street, Seattle, WA, USA","Barry loves going to University Village. He enjoys all of the different people and noises. Barry likes that he can meet friends, get food, and shop all in one place. He likes to get coffee from Mr. West or go to Bamboo to get sushi for dinner with his other balloon besties. 

By CH",https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2892960763,,"University Village, Northeast University Village Street, Seattle, WA, USA",47.6616885,-122.2990339,Anonymous,2024-02-22 22:11:26 UTC,2024-02-22 22:11:26 UTC,0,0
29,"Basil Viet Kitchen, University Way NE, Seattle, WA",This place is called Basil Viet Kitchen and it makes Confi very happy. Confi loves to come here during lunch time or after class to eat some delicious pho. This restaurant is their favorite in the area. -Confidence Orji,https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2892952407,,"Basil Viet Kitchen, University Way NE, Seattle, WA",47.6554546,-122.3131258,Anonymous,2024-02-22 21:57:30 UTC,2024-02-22 21:57:30 UTC,0,0
30,"Tukwila International Boulevard, Tukwila, WA","Tukwila International Boulevard, Tukwila, WA",https://padlet.com/gunwhaoh/happy-place-wi24-i33k3qtcvgp38mxa/wish/2892950021,This station is a happy destination of Jacque Ho because this is the last stop before he gets home and the shopping mall. ,"Tukwila International Boulevard, Tukwila, WA",47.4859264,-122.288,Anonymous,2024-02-22 21:53:22 UTC,2024-02-22 21:53:22 UTC,1,1
