Subject,Body,Location,Latitude,Longitude,Number of comments,Likes,totalwords,CleanBody,totalwords2
"Chinatown/International District, Seattle, WA, USA",This is Aria's happy place.  She's in Chinatown/International District. This place brings her happiness because it's the first place she visited when she came to America.  - Badria K.,"Chinatown/International District, Seattle, WA, USA",47.5987122,-122.3239762,0,0,29,  Aria' happy .  '  Chinatown/International District.   brings  happiness  '  first   visited   came  America.  - Badria K.,16
"SEAFAB CAFE, Northeast Boat Street, Seattle, WA",My favorite cafe to study at. So quite and peaceful!,"SEAFAB CAFE, Northeast Boat Street, Seattle, WA",47.6534067,-122.3181167,0,0,10,My favorite cafe  study . So quite  peaceful!,8
"Apple University Village, Northeast 49th Street, Seattle, WA, USA","A perfect place for BB to rest and chill after schoolwork is the park in University Village. This is his go-to place when he feels stressful and frustrated. He is also a huge apple fan and he is checking out the brand new Vision Pro today!!

--BY","Apple University Village, Northeast 49th Street, Seattle, WA, USA",47.6639219,-122.298531,0,0,47,"A perfect   BB  rest  chill  schoolwork   park  University Village.    -    feels stressful  frustrated.     huge apple fan    checking out  brand new Vision Pro today!!

--BY",24
"7312 West Green Lake Dr N, Seattle, WA",Here is a corner of Green Lake. This is where Marshal and his girlfriend first met and where they have made many happy and memorial moments. Hoping this place can continue to bring them good memories.,"7312 West Green Lake Dr N, Seattle, WA 98103美国",47.6809247036125,-122.34075093153,0,0,36,Here   corner  Green Lake.    Marshal   girlfriend first met     made many happy  memorial moments. Hoping   can continue  bring them good memories.,20
"Frye Art Museum, Terry Avenue, Seattle, WA",Tony went to the Frye Art Museum to look at artwork and explore the different pieces on display. Also he went to gain inspiration his own creative projects and endeavors. - caden h,"Frye Art Museum, Terry Avenue, Seattle, WA",47.6071992,-122.324147,0,0,33,Tony went   Frye Art Museum  look  artwork  explore  different pieces  display. Also  went  gain inspiration  own creative projects  endeavors. - caden h,22
"Ravenna Ravine, 6215 24th Ave NE, Seattle, WA 98105, USA","This is Loondog, and Ravenna Park is his happy place. He likes going to the park to listen to the sounds of the creek and walk the paths that follow it. After being in a busy city for so long, Loondog gets a calming smile when he steps foot on the mud and sees the tops of the trees swaying above. 
-AS","Ravenna Ravine, 6215 24th Ave NE, Seattle, WA 98105, USA",47.6724722210545,-122.310074322664,0,0,62,"  Loondog,  Ravenna Park   happy .  likes    park  listen   sounds   creek  walk  paths  follow . After    busy city   long, Loondog gets  calming smile   steps foot   mud  sees  tops   trees swaying above. 
-AS",31
"Smith Hall (SMI), Skagit Lane, 西雅图华盛顿",I have been climbing the four floor stairs last quarter for quiz section until I found the elevator hehe. My journey with geo department started here and I really value my experience with this major!,"Smith Hall (SMI), Skagit Lane, 西雅图华盛顿",47.6564039,-122.3075068,0,0,35,   climbing  four floor stairs last quarter  quiz section until  found  elevator hehe. My journey  geo department started    really value my experience   major!,22
View at night,"Peetah is a big fan of walking at night around Seattle. Ever since these new buildings have been put up, he has been thoroughly entertained by the actions so easily visible from down on the street, and often sees hilarious moments unfold several hundred feet in the air above him. This view is his favorite part of the walk at night, as it allows a peek into life when clearly no one believes others are watching. 


-by Sam M","4300 11th Avenue Northeast, Seattle, WA, USA",47.6602924,-122.3162322,0,0,79,"Peetah   big fan  walking  night  Seattle. Ever since these new buildings   put up,    thoroughly entertained   actions  easily visible  down   street,  often sees hilarious moments unfold several hundred feet   air above .  view   favorite part   walk  night,   allows  peek into life  clearly no  believes others are watching. 


- Sam M",49
"Founders Hall (FNDR), East Stevens Way Northeast, Seattle, WA",This is one of my favorite place to study while I don’t have class.,"Founders Hall (FNDR), East Stevens Way Northeast, Seattle, WA",47.6587571,-122.3073645,1,1,14,    my favorite   study   don’t  class.,5
"Uwajimaya Seattle, 5th Avenue South, Seattle, WA","This is Bob, he loves going to Uwajimaya in Chinatown district where asian foods and gift market are plentiful and always surprising throughout his time after moving to Seattle. He can't help but smile when many happy people are delighted to wander around many of the small businesses of this shop-in-shop location! - Andy Hoang","Uwajimaya Seattle, 5th Avenue South, Seattle, WA",47.5968209,-122.326793,0,0,55,"  Bob,  loves   Uwajimaya  Chinatown district  asian foods  gift market are plentiful  always surprising throughout  time  moving  Seattle.  can't help but smile  many happy people are delighted  wander  many   small businesses   shop--shop location! - Andy Hoang",35
"Benefit Playground, 38th Avenue South, Seattle, WA","This is ringi, and he enjoys being out in the nature, visiting parks for walks at night, and sports early in the day. But especially likes it at night since it's very open and relaxing. There are many parks he enjoys but, you'll most likely see him strollin at night vibing to music at this one.

-Henry Tam","Benefit Playground, 38th Avenue South, Seattle, WA",47.5190115,-122.2842073,0,0,58,"  ringi,   enjoys  out   nature, visiting parks  walks  night,  sports early   . But especially likes   night since '  open  relaxing. There are many parks  enjoys but, 'll most likely see  strollin  night vibing  music   .

-Henry Tam",36
